First name,Last name,Archive,Category,Role
Jim,Cline,physics,astro-ph.CO: Cosmology and Nongalactic Astrophysics,moderator
Gonzalo,Alonso-Álvarez,physics,astro-ph.CO: Cosmology and Nongalactic Astrophysics,moderator
Dimitri,Veras,physics,astro-ph.EP: Earth and Planetary Astrophysics,moderator
Andrew,Benson,physics,astro-ph.GA: Astrophysics of Galaxies,moderator
Shin'ichiro,Ando,physics,astro-ph.HE: High Energy Astrophysical Phenomena,moderator
Igor,Chilingarian,physics,astro-ph.IM: Instrumentation and Methods for Astrophysics,moderator
Peter,Williams,physics,astro-ph.IM: Instrumentation and Methods for Astrophysics,moderator
Scott,Kenyon,physics,astro-ph.SR: Solar and Stellar Astrophysics,moderator
David,Grier,physics,cond-mat.dis-nn: Disordered Systems and Neural Networks,moderator
David,Grier,physics,cond-mat.soft: Soft Condensed Matter,moderator
Anna Nickolaevna,Morozovska,physics,cond-mat.mtrl-sci: Materials Science,moderator
Matthew,Davis,physics,cond-mat.quant-gas: Quantum Gases,moderator
Michael,Lawler,physics,cond-mat.str-el: Strongly Correlated Electrons,moderator
Michael,Lawler,physics,cond-mat.supr-con: Superconductivity,moderator
Victor,Galitski,physics,cond-mat.supr-con: Superconductivity,moderator
Julien,Corman,cs,cs.AI: Artificial Intelligence,moderator
Cassio,De Campos,cs,cs.AI: Artificial Intelligence,moderator
Reuth,Mirsky,cs,cs.AI: Artificial Intelligence,moderator
Timothy,Mann,cs,cs.AI: Artificial Intelligence,moderator
Shiwali,Mohan,cs,cs.AI: Artificial Intelligence,moderator
Vasco,Manquinho,cs,cs.AI: Artificial Intelligence,moderator
Davide,Ciucci,cs,cs.AI: Artificial Intelligence,moderator
Onur,Mutlu,cs,cs.AR: Hardware Architecture,moderator
Christopher,Umans,cs,cs.CC: Computational Complexity,moderator
Vasileios,Kalantzis,cs,"cs.CE: Computational Engineering, Finance, and Science",moderator
Vasileios,Kalantzis,cs,cs.MS: Mathematical Software,moderator
Sivaram,Ambikasaran,cs,"cs.CE: Computational Engineering, Finance, and Science",moderator
Sivaram,Ambikasaran,cs,cs.MS: Mathematical Software,moderator
Kevin,Buchin,cs,cs.CG: Computational Geometry,moderator
Yoon,Kim,cs,cs.CL: Computation and Language,moderator
Yonatan,Belinkov,cs,cs.CL: Computation and Language,moderator
Wittawat,Jitkrittum,cs,cs.CL: Computation and Language,moderator
Aditya,Joshi,cs,cs.CL: Computation and Language,moderator
Leshem,Choshen,cs,cs.CL: Computation and Language,moderator
Berkay,Celik,cs,cs.CR: Cryptography and Security,moderator
Tal,Hassner,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Humphrey,Shi,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Christopher,Funk,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Scott,Krig,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Hossein,Azizpour,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Chang,Xu,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Thiago,Santos,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Xinggang,Wang,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Evan,Shelhamer,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Terrance (Terry),Boult,cs,cs.CV: Computer Vision and Pattern Recognition,moderator
Aylin,Caliskan,cs,cs.CY: Computers and Society,moderator
